"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE"
"HF004","2","GSCC01","2015","2014-10-01","0.0069","0.0088","0.0083","0.0259","0.001","E"
"HF004","2","GSCC01","2015","2014-10-02","0.0065","0.0083","0.008","0.0245","0.0009","E"
"HF004","2","GSCC01","2015","2014-10-03","0.0064","0.008","0.0078","0.0239","0.0009","E"
"HF004","2","GSCC01","2015","2014-10-04","0.0061","0.0078","0.0073","0.0227","0.0008","E"
"HF004","2","GSCC01","2015","2014-10-05","0.0057","0.0073","0.007","0.0215","0.0008","E"
"HF004","2","GSCC01","2015","2014-10-06","0.0056","0.007","0.0068","0.021","0.0008","E"
"HF004","2","GSCC01","2015","2014-10-07","0.0053","0.0068","0.0064","0.0199","0.0007","E"
"HF004","2","GSCC01","2015","2014-10-08","0.005","0.0063","0.0061","0.0187","0.0007","E"
"HF004","2","GSCC01","2015","2014-10-09","0.0048","0.0061","0.0057","0.018","0.0007","E"
"HF004","2","GSCC01","2015","2014-10-10","0.0046","0.0059","0.0055","0.0171","0.0006","E"
"HF004","2","GSCC01","2015","2014-10-11","0.0044","0.0055","0.0055","0.0164","0.0006","E"
"HF004","2","GSCC01","2015","2014-10-12","0.0044","0.0055","0.0055","0.0164","0.0006","E"
"HF004","2","GSCC01","2015","2014-10-13","0.0044","0.0055","0.0055","0.0164","0.0006","E"
"HF004","2","GSCC01","2015","2014-10-14","0.0046","0.0132","0.0055","0.0171","0.0006","E"
"HF004","2","GSCC01","2015","2014-10-15","0.0191","0.0311","0.0139","0.0715","0.0027","E"
"HF004","2","GSCC01","2015","2014-10-16","0.0112","0.0178","0.0132","0.042","0.0016","E"
"HF004","2","GSCC01","2015","2014-10-17","0.0107","0.015","0.0132","0.0399","0.0015","E"
"HF004","2","GSCC01","2015","2014-10-18","0.0118","0.015","0.0146","0.0443","0.0016","E"
"HF004","2","GSCC01","2015","2014-10-19","0.0112","0.0146","0.0132","0.042","0.0016","E"
"HF004","2","GSCC01","2015","2014-10-20","0.0381","0.0788","0.0132","0.1425","0.0053","E"
"HF004","2","GSCC01","2015","2014-10-21","0.0223","0.0372","0.0227","0.0833","0.0031","E"
"HF004","2","GSCC01","2015","2014-10-22","0.019","0.0385","0.0208","0.0712","0.0026","E"
"HF004","2","GSCC01","2015","2014-10-23","0.1264","0.3247","0.0385","0.4733","0.0176","E"
"HF004","2","GSCC01","2015","2014-10-24","0.0635","0.0936","0.0581","0.2376","0.0088","E"
"HF004","2","GSCC01","2015","2014-10-25","0.0526","0.1173","0.0432","0.197","0.0073","E"
"HF004","2","GSCC01","2015","2014-10-26","0.1108","0.1714","0.0832","0.4145","0.0154","E"
"HF004","2","GSCC01","2015","2014-10-27","0.0475","0.0829","0.0439","0.1777","0.0066","E"
"HF004","2","GSCC01","2015","2014-10-28","0.0304","0.0439","0.0341","0.1136","0.0042","E"
"HF004","2","GSCC01","2015","2014-10-29","0.0245","0.0341","0.0283","0.0917","0.0034","E"
"HF004","2","GSCC01","2015","2014-10-30","0.1263","1.4964","0.0256","0.4728","0.0176","E"
"HF004","2","GSCC01","2015","2014-10-31","0.5438","1.3256","0.2924","2.0352","0.0757","E"
"HF004","2","GSCC01","2015","2014-11-01","0.1533","0.2911","0.1319","0.5739","0.0213","E"
"HF004","2","GSCC01","2015","2014-11-02","0.0846","0.1317","0.085","0.3164","0.0118","E"
"HF004","2","GSCC01","2015","2014-11-03","0.0602","0.085","0.0674","0.2253","0.0084","E"
"HF004","2","GSCC01","2015","2014-11-04","0.1059","0.1944","0.0656","0.3964","0.0147","E"
"HF004","2","GSCC01","2015","2014-11-05","0.1255","0.1944","0.127","0.4699","0.0175","E"
"HF004","2","GSCC01","2015","2014-11-06","0.0875","0.1264","0.0936","0.3276","0.0122","E"
"HF004","2","GSCC01","2015","2014-11-07","0.0678","0.0936","0.0778","0.2536","0.0094","E"
"HF004","2","GSCC01","2015","2014-11-08","0.0579","0.0778","0.0674","0.2168","0.0081","E"
"HF004","2","GSCC01","2015","2014-11-09","0.0506","0.0674","0.0578","0.1893","0.007","E"
"HF004","2","GSCC01","2015","2014-11-10","0.0442","0.0578","0.0529","0.1655","0.0062","E"
"HF004","2","GSCC01","2015","2014-11-11","0.0399","0.0529","0.0461","0.1493","0.0056","E"
"HF004","2","GSCC01","2015","2014-11-12","0.0353","0.0461","0.0425","0.1322","0.0049","E"
"HF004","2","GSCC01","2015","2014-11-13","0.1166","0.191","0.0425","0.4365","0.0162","E"
"HF004","2","GSCC01","2015","2014-11-14","0.3824","0.9488","0.1651","1.4313","0.0532","E"
"HF004","2","GSCC01","2015","2014-11-15","0.589","0.9531","0.4842","2.2044","0.082","E"
"HF004","2","GSCC01","2015","2014-11-16","0.2996","0.4842","0.2938","1.1213","0.0417","E"
"HF004","2","GSCC01","2015","2014-11-17","0.1995","0.2933","0.2101","0.7466","0.0278","E"
"HF004","2","GSCC01","2015","2014-11-18","0.1448","0.2101","0.1545","0.5418","0.0201","E"
"HF004","2","GSCC01","2015","2014-11-19","0.1131","0.1545","0.1344","0.4234","0.0157","E"
"HF004","2","GSCC01","2015","2014-11-20","0.1048","0.1386","0.1199","0.3923","0.0146","E"
"HF004","2","GSCC01","2015","2014-11-21","0.2451","1.6432","0.1123","0.9173","0.0341","E"
"HF004","2","GSCC01","2015","2014-11-22","1.3789","2.0086","1.3398","5.1609","0.1919","E"
"HF004","2","GSCC01","2015","2014-11-23","0.8179","1.3363","0.7799","3.0612","0.1138","E"
"HF004","2","GSCC01","2015","2014-11-24","0.5335","0.7838","0.5576","1.9968","0.0743","E"
"HF004","2","GSCC01","2015","2014-11-25","0.3948","0.5576","0.4196","1.4777","0.055","E"
"HF004","2","GSCC01","2015","2014-11-26","0.2998","0.4196","0.327","1.122","0.0417","E"
"HF004","2","GSCC01","2015","2014-11-27","0.2398","0.327","0.2846","0.8973","0.0334","E"
"HF004","2","GSCC01","2015","2014-11-28","0.3881","1.0991","0.2761","1.4526","0.054","E"
"HF004","2","GSCC01","2015","2014-11-29","1.4466","2.3357","1.1473","5.4141","0.2014","E"
"HF004","2","GSCC01","2015","2014-11-30","0.8206","1.2219","0.83","3.0712","0.1142","E"
"HF004","2","GSCC01","2015","2014-12-01","0.6156","0.8273","0.6721","2.304","0.0857","E"
"HF004","2","GSCC01","2015","2014-12-02","0.4797","0.6721","0.5306","1.7954","0.0668","E"
"HF004","2","GSCC01","2015","2014-12-03","0.3825","0.5293","0.4253","1.4317","0.0532","E"
"HF004","2","GSCC01","2015","2014-12-04","0.303","0.425","0.3301","1.1342","0.0422","E"
"HF004","2","GSCC01","2015","2014-12-05","0.2379","0.3293","0.272","0.8905","0.0331","E"
"HF004","2","GSCC01","2015","2014-12-06","0.218","0.2933","0.2418","0.816","0.0303","E"
"HF004","2","GSCC01","2015","2014-12-07","0.1749","0.2418","0.198","0.6547","0.0243","E"
"HF004","2","GSCC01","2015","2014-12-08","0.1476","0.1978","0.1715","0.5526","0.0205","E"
"HF004","2","GSCC01","2015","2014-12-09","0.1285","0.1714","0.1545","0.4809","0.0179","E"
"HF004","2","GSCC01","2015","2014-12-10","0.1209","0.156","0.1486","0.4525","0.0168","E"
"HF004","2","GSCC01","2015","2014-12-11","0.2224","0.3901","0.1471","0.8322","0.0309","E"
"HF004","2","GSCC01","2015","2014-12-12","0.3324","0.4196","0.3907","1.2441","0.0463","E"
"HF004","2","GSCC01","2015","2014-12-13","0.3051","0.4116","0.3512","1.142","0.0425","E"
"HF004","2","GSCC01","2015","2014-12-14","0.2634","0.3507","0.3065","0.9858","0.0367","E"
"HF004","2","GSCC01","2015","2014-12-15","0.228","0.3043","0.2341","0.8531","0.0317","E"
"HF004","2","GSCC01","2015","2014-12-16","0.203","0.272","0.2303","0.7597","0.0283","E"
"HF004","2","GSCC01","2015","2014-12-17","0.1743","0.2303","0.2137","0.6523","0.0243","E"
"HF004","2","GSCC01","2015","2014-12-18","0.1689","0.2137","0.2048","0.6323","0.0235","E"
"HF004","2","GSCC01","2015","2014-12-19","0.3241","0.469","0.2048","1.2129","0.0451","E"
"HF004","2","GSCC01","2015","2014-12-20","1.9939","8.6305","0.4697","7.4624","0.2775","E"
"HF004","2","GSCC01","2015","2014-12-21","9.817","14.264","7.0085","36.7421","1.3664","E"
"HF004","2","GSCC01","2015","2014-12-22","7.4311","11.841","4.7174","27.8122","1.0343","E"
"HF004","2","GSCC01","2015","2014-12-23","3.2365","4.7174","2.9583","12.1132","0.4505","E"
"HF004","2","GSCC01","2015","2014-12-24","2.2795","2.9754","2.3581","8.5316","0.3173","E"
"HF004","2","GSCC01","2015","2014-12-25","1.7211","2.3805","1.8885","6.4414","0.2396","E"
"HF004","2","GSCC01","2015","2014-12-26","1.3704","1.8885","1.5021","5.1291","0.1908","E"
"HF004","2","GSCC01","2015","2014-12-27","1.0933","1.5079","1.2422","4.0919","0.1522","E"
"HF004","2","GSCC01","2015","2014-12-28","1.1046","1.4344","1.2422","4.1341","0.1537","E"
"HF004","2","GSCC01","2015","2014-12-29","0.9763","1.2783","1.1231","3.6539","0.1359","E"
"HF004","2","GSCC01","2015","2014-12-30","0.834","1.1231","0.9531","3.1212","0.1161","E"
"HF004","2","GSCC01","2015","2014-12-31","0.7007","0.9531","0.8073","2.6224","0.0975","E"
"HF004","2","GSCC01","2015","2015-01-01","0.5973","0.8073","0.6864","2.2355","0.0831","E"
"HF004","2","GSCC01","2015","2015-01-02","0.5092","0.6864","0.5839","1.9058","0.0709","E"
"HF004","2","GSCC01","2015","2015-01-03","0.4351","0.5834","0.505","1.6283","0.0606","E"
"HF004","2","GSCC01","2015","2015-01-04","0.3796","0.505","0.4415","1.4208","0.0528","E"
"HF004","2","GSCC01","2015","2015-01-05","0.3267","0.4415","0.3779","1.2227","0.0455","E"
"HF004","2","GSCC01","2015","2015-01-06","0.2801","0.3779","0.3225","1.0481","0.039","E"
"HF004","2","GSCC01","2015","2015-01-07","0.2412","0.3224","0.2825","0.9028","0.0336","E"
"HF004","2","GSCC01","2015","2015-01-08","0.2134","0.2825","0.2517","0.7987","0.0297","E"
"HF004","2","GSCC01","2015","2015-01-09","0.1933","0.2516","0.2304","0.7233","0.0269","E"
"HF004","2","GSCC01","2015","2015-01-10","0.1781","0.2303","0.2137","0.6667","0.0248","E"
"HF004","2","GSCC01","2015","2015-01-11","0.1664","0.2137","0.2013","0.6227","0.0232","E"
"HF004","2","GSCC01","2015","2015-01-12","0.1612","0.203","0.1996","0.6034","0.0224","E"
"HF004","2","GSCC01","2015","2015-01-13","0.1609","0.203","0.1961","0.6022","0.0224","E"
"HF004","2","GSCC01","2015","2015-01-14","0.1507","0.1961","0.1794","0.5639","0.021","E"
"HF004","2","GSCC01","2015","2015-01-15","0.1394","0.1794","0.1714","0.5216","0.0194","E"
"HF004","2","GSCC01","2015","2015-01-16","0.3298","0.4901","0.173","1.2343","0.0459","E"
"HF004","2","GSCC01","2015","2015-01-17","0.5526","0.9271","0.3881","2.0683","0.0769","E"
"HF004","2","GSCC01","2015","2015-01-18","0.9052","1.1867","0.9314","3.3877","0.126","E"
"HF004","2","GSCC01","2015","2015-01-19","0.7953","1.0755","0.8976","2.9766","0.1107","E"
"HF004","2","GSCC01","2015","2015-01-20","0.6643","0.8973","0.7454","2.4863","0.0925","E"
"HF004","2","GSCC01","2015","2015-01-21","0.5452","0.7454","0.6183","2.0404","0.0759","E"
"HF004","2","GSCC01","2015","2015-01-22","0.4551","0.6166","0.5171","1.7033","0.0633","E"
"HF004","2","GSCC01","2015","2015-01-23","0.3824","0.5171","0.4332","1.431","0.0532","E"
"HF004","2","GSCC01","2015","2015-01-24","0.3183","0.4332","0.3629","1.1912","0.0443","E"
"HF004","2","GSCC01","2015","2015-01-25","0.2695","0.3629","0.311","1.0088","0.0375","E"
"HF004","2","GSCC01","2015","2015-01-26","0.2339","0.311","0.272","0.8755","0.0326","E"
"HF004","2","GSCC01","2015","2015-01-27","0.2047","0.272","0.2379","0.7662","0.0285","E"
"HF004","2","GSCC01","2015","2015-01-28","0.18","0.2379","0.2103","0.6738","0.0251","E"
"HF004","2","GSCC01","2015","2015-01-29","0.1621","0.2101","0.1911","0.6068","0.0226","E"
"HF004","2","GSCC01","2015","2015-01-30","0.1471","0.191","0.1746","0.5506","0.0205","E"
"HF004","2","GSCC01","2015","2015-01-31","0.1358","0.1746","0.1636","0.5084","0.0189","E"
"HF004","2","GSCC01","2015","2015-02-01","0.1285","0.1636","0.159","0.4809","0.0179","E"
"HF004","2","GSCC01","2015","2015-02-02","0.2534","0.4784","0.159","0.9486","0.0353","E"
"HF004","2","GSCC01","2015","2015-02-03","1.2294","1.8495","0.417","4.6011","0.1711","E"
"HF004","2","GSCC01","2015","2015-02-04","1.2892","1.8173","1.3848","4.825","0.1794","E"
