"STCODE","FORMAT","SITECODE","ANNUAL_YEAR","WATERYEAR","MONTH","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","3","GSCC01","2014","2015","10","0.0434","1.4964","0.0055","0.1622","0.1869","E","31","31"
"HF004","3","GSCC01","2014","2015","11","0.3143","2.3357","0.0425","1.1762","1.3122","E","30","30"
"HF004","3","GSCC01","2014","2015","12","1.2125","14.264","0.1471","4.5381","5.2319","E","31","31"
"HF004","3","GSCC01","2015","2015","1","0.3359","1.1867","0.1636","1.2573","1.4497","E","31","31"
"HF004","3","GSCC01","2015","2015","2","0.6951","5.4709","0.159","2.6016","2.709","E","28","28"
"HF004","3","GSCC01","2015","2015","3","0.1834","0.7721","0.1148","0.6863","0.7912","E","31","31"
"HF004","3","GSCC01","2015","2015","4","0.1366","0.302","0.0947","0.5114","0.5707","E","30","30"
"HF004","3","GSCC01","2015","2015","5","0.068","0.2911","0.0612","0.2544","0.2932","E","31","31"
"HF004","3","GSCC01","2015","2015","6","0.0326","0.1074","0.019","0.1218","0.1363","E","30","30"
"HF004","3","GSCC01","2015","2015","7","0.0129","0.0199","0.0143","0.0485","0.0138","E","8","8"
