"STCODE","FORMAT","SITECODE","WATERYEAR","DATE","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE"
"HF004","2","GSWS01","2015","2014-10-01","0.0707","0.0744","0.0697","0.1909","0.0071","A"
"HF004","2","GSWS01","2015","2014-10-02","0.0697","0.0697","0.0697","0.1881","0.007","A"
"HF004","2","GSWS01","2015","2014-10-03","0.0653","0.0697","0.0606","0.1764","0.0066","A"
"HF004","2","GSWS01","2015","2014-10-04","0.0583","0.0606","0.0563","0.1574","0.0059","A"
"HF004","2","GSWS01","2015","2014-10-05","0.0555","0.0563","0.0521","0.1499","0.0056","A"
"HF004","2","GSWS01","2015","2014-10-06","0.0563","0.0563","0.0563","0.152","0.0057","A"
"HF004","2","GSWS01","2015","2014-10-07","0.0573","0.0606","0.0563","0.1547","0.0058","A"
"HF004","2","GSWS01","2015","2014-10-08","0.0606","0.0606","0.0606","0.1637","0.0061","A"
"HF004","2","GSWS01","2015","2014-10-09","0.0573","0.0606","0.0563","0.1547","0.0058","A"
"HF004","2","GSWS01","2015","2014-10-10","0.0563","0.0563","0.0563","0.152","0.0057","A"
"HF004","2","GSWS01","2015","2014-10-11","0.0627","0.0792","0.0563","0.1694","0.0063","A"
"HF004","2","GSWS01","2015","2014-10-12","0.0681","0.0792","0.0606","0.1839","0.0068","A"
"HF004","2","GSWS01","2015","2014-10-13","0.0606","0.0606","0.0606","0.1637","0.0061","A"
"HF004","2","GSWS01","2015","2014-10-14","0.0723","0.0997","0.0563","0.1952","0.0073","A"
"HF004","2","GSWS01","2015","2014-10-15","0.1612","0.2315","0.0892","0.4352","0.0162","A"
"HF004","2","GSWS01","2015","2014-10-16","0.129","0.2224","0.0997","0.3484","0.013","A"
"HF004","2","GSWS01","2015","2014-10-17","0.0967","0.0997","0.0944","0.2612","0.0097","A"
"HF004","2","GSWS01","2015","2014-10-18","0.1031","0.1051","0.0997","0.2783","0.0104","A"
"HF004","2","GSWS01","2015","2014-10-19","0.097","0.1279","0.0944","0.262","0.0097","A"
"HF004","2","GSWS01","2015","2014-10-20","0.1559","0.2269","0.0841","0.4211","0.0157","A"
"HF004","2","GSWS01","2015","2014-10-21","0.2434","0.3938","0.1818","0.6573","0.0244","A"
"HF004","2","GSWS01","2015","2014-10-22","0.4125","1.8811","0.1818","1.1138","0.0414","A"
"HF004","2","GSWS01","2015","2014-10-23","0.9695","2.6504","0.3393","2.6179","0.0974","A"
"HF004","2","GSWS01","2015","2014-10-24","0.2818","0.3393","0.2453","0.7609","0.0283","A"
"HF004","2","GSWS01","2015","2014-10-25","0.2658","0.4266","0.2178","0.7178","0.0267","A"
"HF004","2","GSWS01","2015","2014-10-26","0.9191","1.3855","0.4266","2.482","0.0923","A"
"HF004","2","GSWS01","2015","2014-10-27","0.506","0.6975","0.3441","1.3665","0.0508","A"
"HF004","2","GSWS01","2015","2014-10-28","0.6308","1.4262","0.306","1.7034","0.0633","A"
"HF004","2","GSWS01","2015","2014-10-29","0.7639","1.3586","0.4605","2.0628","0.0767","A"
"HF004","2","GSWS01","2015","2014-10-30","0.5445","2.3272","0.3155","1.4703","0.0547","A"
"HF004","2","GSWS01","2015","2014-10-31","2.5738","3.8754","1.0805","6.9503","0.2585","A"
"HF004","2","GSWS01","2015","2014-11-01","0.739","1.0805","0.5411","1.9957","0.0742","A"
"HF004","2","GSWS01","2015","2014-11-02","0.4228","0.5411","0.3489","1.1417","0.0425","A"
"HF004","2","GSWS01","2015","2014-11-03","0.35","0.3585","0.3345","0.9451","0.0351","A"
"HF004","2","GSWS01","2015","2014-11-04","1.5689","2.3973","0.3585","4.2367","0.1576","A"
"HF004","2","GSWS01","2015","2014-11-05","1.2249","1.8499","0.8518","3.3079","0.123","A"
"HF004","2","GSWS01","2015","2014-11-06","0.6835","0.8518","0.5318","1.8457","0.0686","A"
"HF004","2","GSWS01","2015","2014-11-07","0.4558","0.5318","0.4019","1.231","0.0458","A"
"HF004","2","GSWS01","2015","2014-11-08","0.3667","0.4019","0.3393","0.9903","0.0368","A"
