"STCODE","FORMAT","SITECODE","ANNUAL_YEARWATERYEAR","MONTH","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","2","GSWS01","2015","2015","1","1.4665","14.178","0.5227","3.9603","4.5659","A","0","31"
"HF004","2","GSWS01","2015","2015","2","1.5727","10.3416","0.4349","4.2469","4.4223","A","0","28"
"HF004","2","GSWS01","2015","2015","3","0.6868","2.5042","0.2966","1.8547","2.1383","A","0","31"
"HF004","2","GSWS01","2015","2015","4","0.636","24.7306","0.3155","1.7176","1.916","E","2","30"
"HF004","2","GSWS01","2015","2015","5","0.2781","0.8439","0.1863","0.7511","0.8658","A","0","31"
"HF004","2","GSWS01","2015","2015","6","0.1082","0.2133","0.0313","0.2922","0.3258","Q","1","30"
"HF004","2","GSWS01","2015","2015","7","0.025","0.0516","0.0049","0.0674","0.078","A","0","31"
"HF004","2","GSWS01","2015","2015","8","0.0109","0.0478","0.0037","0.0294","0.0338","A","0","31"
"HF004","2","GSWS01","2015","2015","9","0.046","0.9221","0.0116","0.1244","0.1386","A","0","30"
"HF004","2","GSWS01","2014","2015","10","0.3137","3.8754","0.0521","0.8471","0.977","A","0","31"
"HF004","2","GSWS01","2014","2015","11","2.478","22.1108","0.2224","6.6916","7.466","A","0","30"
"HF004","2","GSWS01","2014","2015","12","4.3659","45.9047","0.7201","11.7896","13.5924","A","0","31"
