"STCODE","FORMAT","SITECODE","ANNUAL_YEAR","WATERYEAR","MONTH","MEAN_Q","MAX_Q","MIN_Q","MEAN_Q_AREA","TOTAL_Q_AREA","ESTCODE","ESTDAYS","TOTAL_DAYS"
"HF004","3","GSWS03","2014","2015","10","0.4266","4.2539","0.003","1.092","1.2589","A","0","31"
"HF004","3","GSWS03","2014","2015","11","2.2881","15.3672","0.3902","5.8575","6.535","A","0","30"
"HF004","3","GSWS03","2014","2015","12","3.9046","28.0221","0.7969","9.9959","11.5242","A","0","31"
"HF004","3","GSWS03","2015","2015","1","1.5607","10.3411","0.7267","3.9953","4.6062","A","0","31"
"HF004","3","GSWS03","2015","2015","2","1.57","7.1387","0.6359","4.0193","4.1853","A","0","28"
"HF004","3","GSWS03","2015","2015","3","0.7736","3.0268","0.4067","1.9804","2.2832","A","0","31"
"HF004","3","GSWS03","2015","2015","4","0.7005","1.0235","0.4621","1.7933","1.9991","A","0","30"
"HF004","3","GSWS03","2015","2015","5","0.3951","1.4186","0.2832","1.0113","1.1659","A","0","31"
"HF004","3","GSWS03","2015","2015","6","0.1925","0.3434","0.0","0.4927","0.5497","A","0","30"
"HF004","3","GSWS03","2015","2015","7","0.0941","0.1828","0.0651","0.2408","0.2776","A","0","31"
"HF004","3","GSWS03","2015","2015","8","0.0639","0.2031","0.0526","0.1637","0.1886","A","0","31"
"HF004","3","GSWS03","2015","2015","9","0.099","2.2422","0.0056","0.2535","0.2617","A","0","28"
