dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comment
HF002,6,GSCC01,9/16/2014 8:22,0.055,0.055,10/23/2014 11:29,0.312,0.312,
HF002,6,GSCC01,10/23/2014 11:29,0.312,0.312,11/24/2014 11:28,0.434,0.456,
HF002,6,GSCC01,11/24/2014 11:28,0.454,0.456,12/15/2014 12:21,0.344,0.323,
HF002,6,GSCC01,12/15/2014 12:21,0.323,0.323,12/29/2014 8:54,0.594,0.591,
HF002,6,GSCC01,12/29/2014 8:54,0.594,0.591,2/3/2015 12:14,0.68,0.676,
HF002,6,GSCC01,2/3/2015 12:14,0.676,0.676,3/4/2015 11:08,0.257,0.26,
HF002,6,GSCC01,3/4/2015 11:08,0.257,0.26,3/31/2015 7:14,0.284,0.292,
HF002,6,GSCC01,3/31/2015 7:14,0.292,0.292,4/28/2015 7:14,0.224,0.222,
HF002,6,GSCC01,4/28/2015 7:14,0.224,0.222,5/21/2015 8:30,0.197,0.193,
HF002,6,GSCC01,5/21/2015 8:30,0.193,0.193,6/16/2015 7:34,0.142,0.141,
HF002,6,GSCC01,6/16/2015 7:34,0.142,0.141,7/8/2015 15:23,0.105,0.106,Weirs drained 7/8 for annual survey and maintenance.
HF002,6,GSCC01,7/8/2015 15:23,0.106,0.106,,,,Data missing until weir fill-up & reset. Missing estimated
