dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS03,9/23/2014 17:33,0.188,0.187,9/29/2014 17:14,0.205,0.204,V-notch removed 9/29@1714
HF002,6,GSWS03,9/29/2014 17:14,0.037,0.037,10/7/2014 10:54,0.032,0.032,
HF002,6,GSWS03,10/7/2014 10:54,0.032,0.032,10/14/2014 16:43,0.034,0.04,
HF002,6,GSWS03,10/14/2014 16:43,0.041,0.04,10/21/2014 13:02,0.091,0.093,
HF002,6,GSWS03,10/21/2014 13:02,0.091,0.093,10/28/2014 14:09,0.171,0.174,
HF002,6,GSWS03,10/28/2014 14:09,0.171,0.174,11/4/2014 18:06,0.216,0.22,
HF002,6,GSWS03,11/4/2014 18:06,0.216,0.22,11/24/2014 18:37,0.283,0.285,
HF002,6,GSWS03,11/24/2014 18:37,0.283,0.285,12/16/2014 15:09,0.164,0.169,
HF002,6,GSWS03,12/16/2014 15:09,0.164,0.169,1/6/2015 15:37,0.179,0.187,Cleaned flume entry pool 1/6@1545.
HF002,6,GSWS03,1/6/2015 15:37,0.186,0.187,1/27/2015 8:32,0.172,0.168,
HF002,6,GSWS03,1/27/2015 8:32,0.172,0.168,2/18/2015 14:50,0.177,0.17,Prg. Change 3/18@~1500
HF002,6,GSWS03,2/18/2015 14:50,0.177,0.17,2/18/2015 18:33,0.173,0.169,Returned to reset stage.
HF002,6,GSWS03,2/18/2015 18:33,0.168,0.169,3/10/2015 18:03,0.084,0.084,
HF002,6,GSWS03,3/10/2015 18:03,0.084,0.084,3/31/2015 17:41,0.168,0.168,
HF002,6,GSWS03,3/31/2015 17:41,0.168,0.168,4/21/2015 18:23,0.104,0.104,
HF002,6,GSWS03,4/21/2015 18:23,0.104,0.104,4/30/2015 6:35,0.094,0.092,CR10X replaced w/ CR1000 4/30@0640.
HF002,6,GSWS03,4/30/2015 6:35,0.094,0.092,4/30/2015 7:20,0.094,0.092,Missing Data
HF002,6,GSWS03,4/30/2015 7:20,0.094,0.092, 05/13/2015 18:00,0.075,0.073,
HF002,6,GSWS03,5/13/2015 18:00,0.075,0.073,5/26/2015 17:34,0.065,0.063,
HF002,6,GSWS03,5/26/2015 17:34,0.065,0.063,6/3/2015 9:55,0.06,0.058,
HF002,6,GSWS03,6/3/2015 9:55,0.06,0.058,6/15/2015 12:34,0.051,0.047,Installed V-notch 6/15@1234
HF002,6,GSWS03,6/15/2015 12:34,0.249,0.249,6/24/2015 11:06,0.244,0.245,
HF002,6,GSWS03,6/24/2015 11:06,0.244,0.245,6/30/2015 9:58,0.238,0.238,
HF002,6,GSWS03,6/30/2015 9:58,0.238,0.238,7/6/2015 15:36,0.218,0.216,
HF002,6,GSWS03,7/6/2015 15:36,0.218,0.216,7/15/2015 12:17,0.215,0.213,
HF002,6,GSWS03,7/15/2015 12:17,0.215,0.213,7/21/2015 12:21,0.202,0.203,
HF002,6,GSWS03,7/21/2015 12:21,0.202,0.203,7/28/2015 13:06,0.198,0.194,
HF002,6,GSWS03,7/28/2015 13:06,0.198,0.194,8/6/2015 13:01,0.187,0.182,
HF002,6,GSWS03,8/6/2015 13:01,0.181,0.182,8/11/2015 10:50,0.179,0.184,
HF002,6,GSWS03,8/11/2015 10:50,0.179,0.184,8/18/2015 12:41,0.172,0.173,
HF002,6,GSWS03,8/18/2015 12:41,0.172,0.173,8/25/2015 10:05,0.171,0.173,
HF002,6,GSWS03,8/25/2015 10:05,0.171,0.173,9/1/2015 13:10,0.179,0.179,
HF002,6,GSWS03,9/1/2015 13:10,0.179,0.179,9/8/2015 12:46,0.181,0.182,
HF002,6,GSWS03,9/8/2015 12:46,0.181,0.182,9/15/2015 10:44,0.169,0.171,
HF002,6,GSWS03,9/15/2015 10:44,0.169,0.171,9/22/2015 14:23,0.188,0.188,
HF002,6,GSWS03,9/22/2015 14:23,0.188,0.188,9/28/2015 12:55,0.176,0.176,V-notch removed 9/28@1255.
HF002,6,GSWS03,9/28/2015 12:55,0.026,0.026,10/7/2015 7:03,0.031,0.024,
