dbcode, entity, sitecode, bgn_date, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWSMA,9/23/2014 13:08,0.107,0.101,10/1/2014 9:28,0.112,0.106,Adjusted -.005
HF002,6,GSWSMA,10/1/2014 9:28,0.112,0.106,10/7/2014 11:38,0.099,0.1,Adjusted -.005
HF002,6,GSWSMA,10/7/2014 11:38,0.105,0.1,10/15/2014 11:26,0.186,0.176,Fish passage closed for winter 10/15@1126. Adjusted -.005
HF002,6,GSWSMA,10/15/2014 11:26,0.198,0.191,10/21/2014 13:49,0.213,0.206,Adjusted -.005
HF002,6,GSWSMA,10/21/2014 13:49,0.213,0.206,10/27/2014 16:45,0.355,0.343,Adjusted -.005
HF002,6,GSWSMA,10/27/2014 16:45,0.355,0.343,11/5/2014 14:40,0.518,0.512,Tape reading was lowered 0.005 11/5@1415. 0.517 to 0.512
HF002,6,GSWSMA,11/5/2014 14:40,0.511,0.512,11/24/2014 14:17,0.748,0.74,
HF002,6,GSWSMA,11/24/2014 14:17,0.742,0.74,12/16/2014 9:12,0.377,0.371,
HF002,6,GSWSMA,12/16/2014 9:12,0.377,0.371,1/6/2015 8:45,0.455,0.453,
HF002,6,GSWSMA,1/6/2015 8:45,0.455,0.453,1/26/2015 11:33,0.413,0.41,
HF002,6,GSWSMA,1/26/2015 11:33,0.413,0.41,2/18/2015 16:50,0.383,0.375,
HF002,6,GSWSMA,2/18/2015 16:50,0.376,0.375,3/11/2015 10:51,0.248,0.249,Opened fish passage & cleaned entry 3/11@1055. Raining during process. Flows increased.
HF002,6,GSWSMA,3/11/2015 10:51,0.252,0.257,4/1/2015 9:09,0.446,0.447,
HF002,6,GSWSMA,4/1/2015 9:09,0.446,0.447,4/22/2015 8:54,0.343,0.342,
HF002,6,GSWSMA,4/22/2015 8:54,0.343,0.342,4/29/2015 15:07,0.325,0.323,
HF002,6,GSWSMA,4/29/2015 15:07,0.325,0.323,5/5/2015 13:11,0.267,0.267,
HF002,6,GSWSMA,5/5/2015 13:11,0.267,0.267,5/13/2015 8:22,0.253,0.251,Diverted more flow to fish passage on 5/13.
HF002,6,GSWSMA,5/13/2015 8:22,0.25,0.249,5/20/2015 16:40,0.238,0.236,Tested CR1000 before install. Data Missing 5/20 1640 to 1720
HF002,6,GSWSMA,5/20/2015 16:40,0.238,0.236,5/20/2015 17:20,0.234,0.235,Missing Data
HF002,6,GSWSMA,5/20/2015 17:20,0.234,0.235,5/21/2015 12:17,0.241,0.242,More testing of CR1000. HG is estimated.
HF002,6,GSWSMA,5/21/2015 12:17,0.241,0.242,5/21/2015 13:35,0.301,0.301,Data missing 5/21 @ 1215 to 1335
HF002,6,GSWSMA,5/21/2015 13:35,0.301,0.301,5/27/2015 11:48,0.256,0.253,Installed CR1000 5/27@11:48
HF002,6,GSWSMA,5/27/2015 11:48,0.256,0.253,5/27/2015 15:32,0.251,0.253,Data missing 5/27 @ 11:50 to 1530
HF002,6,GSWSMA,5/27/2015 15:32,0.251,0.253,6/3/2015 7:58,0.23,0.226,
HF002,6,GSWSMA,6/3/2015 7:58,0.226,0.226,6/16/2015 17:40,0.166,0.161,
HF002,6,GSWSMA,6/16/2015 17:40,0.162,0.161,6/22/2015 16:12,0.144,0.146,Diverted more flow to fish passage on 6/22.
HF002,6,GSWSMA,6/22/2015 16:12,0.137,0.144,6/30/2015 7:09,0.139,0.139,
HF002,6,GSWSMA,6/30/2015 7:09,0.139,0.139,7/6/2015 12:33,0.128,0.13,
HF002,6,GSWSMA,7/6/2015 12:33,0.128,0.13,7/14/2015 9:42,0.129,0.13,Diverted more flow to fish passage on 7/14.
HF002,6,GSWSMA,7/14/2015 9:42,0.123,0.124,7/21/2015 7:33,0.123,0.117,
HF002,6,GSWSMA,7/21/2015 7:33,0.123,0.117,7/28/2015 8:43,0.116,0.115,
HF002,6,GSWSMA,7/28/2015 8:43,0.116,0.115,8/4/2015 19:32,0.109,0.108,
HF002,6,GSWSMA,8/4/2015 19:32,0.109,0.108,8/11/2015 7:23,0.108,0.108,
HF002,6,GSWSMA,8/11/2015 7:23,0.108,0.108,8/17/2015 10:05,0.107,0.1,Flushed flume plumbing 8/17@1005. End 8/17@1140
HF002,6,GSWSMA,8/17/2015 10:05,0.097,0.099,8/18/2015 8:27,0.102,0.1,
HF002,6,GSWSMA,8/18/2015 8:27,0.102,0.1,8/25/2015 8:35,0.097,0.1,
HF002,6,GSWSMA,8/25/2015 8:35,0.097,0.1,9/1/2015 9:26,0.102,0.107,
HF002,6,GSWSMA,9/1/2015 9:26,0.108,0.107,9/8/2015 9:52,0.107,0.105,
HF002,6,GSWSMA,9/8/2015 9:52,0.107,0.105,9/15/2015 9:42,0.098,0.098,
HF002,6,GSWSMA,9/15/2015 9:42,0.098,0.098,9/22/2015 11:16,0.111,0.106,
HF002,6,GSWSMA,9/22/2015 11:16,0.104,0.106,9/27/2015 11:12,0.104,0.101,
HF002,6,GSWSMA,9/27/2015 11:12,0.1,0.101,10/6/2015 16:50,0.098,0.095,
