dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWSMF,9/2/2014 14:18,0.248,0.245,9/23/2014 13:08,0.232,0.23,
HF002,6,GSWSMF,9/23/2014 13:08,0.232,0.23,10/1/2014 9:28,0.249,0.247,
HF002,6,GSWSMF,10/1/2014 9:28,0.249,0.247,10/7/2014 11:38,0.229,0.222,
HF002,6,GSWSMF,10/7/2014 11:38,0.229,0.222,10/15/2014 11:26,0.307,0.303,Fish passage closed for winter 10/15@1126
HF002,6,GSWSMF,10/15/2014 11:26,0.038,0.037,10/21/2014 13:49,0.049,0.05,
HF002,6,GSWSMF,10/21/2014 13:49,0.049,0.05,11/5/2014 14:40,0.046,0.042,
HF002,6,GSWSMF,11/5/2014 14:40,0.046,0.042,11/24/2014 14:17,0.037,0.033,
HF002,6,GSWSMF,11/24/2014 14:17,0.037,0.033,12/16/2014 9:12,0.04,0.037,
HF002,6,GSWSMF,12/16/2014 9:12,0.04,0.037,1/6/2015 8:45,0.024,0.014,
HF002,6,GSWSMF,1/6/2015 8:45,0.024,0.014,1/26/2015 11:33,0.007,0.01,
HF002,6,GSWSMF,1/26/2015 11:33,0.007,0.01,2/18/2015 16:50,0.034,0.035,
HF002,6,GSWSMF,2/18/2015 16:50,0.034,0.035,3/11/2015 10:51,0.014,0.01,Fish passage opened 3/11@1055
HF002,6,GSWSMF,3/11/2015 10:51,0.28,0.282,4/1/2015 9:09,0.424,0.422,
HF002,6,GSWSMF,4/1/2015 9:09,0.424,0.422,4/22/2015 8:54,0.335,0.327,
HF002,6,GSWSMF,4/22/2015 8:54,0.335,0.327,4/29/2015 15:07,0.312,0.308,
HF002,6,GSWSMF,4/29/2015 15:07,0.312,0.308,5/5/2015 13:11,0.243,0.242,
HF002,6,GSWSMF,5/5/2015 13:11,0.243,0.242,5/13/2015 8:22,0.227,0.225,Diverted more flow to fish passage 5/13.
HF002,6,GSWSMF,5/13/2015 8:22,0.257,0.256,5/27/2015 11:48,0.271,0.257,Replaced CR10X with CR1000 5/27@1148.
HF002,6,GSWSMF,5/27/2015 11:48,0.271,0.257,5/27/2015 15:32,0.271,0.255,Data missing 5/27@ 11:50 to 15:30
HF002,6,GSWSMF,5/27/2015 15:32,0.271,0.255,6/3/2015 7:58,0.246,0.239,
HF002,6,GSWSMF,6/3/2015 7:58,0.246,0.239,6/16/2015 17:40,0.186,0.179,
HF002,6,GSWSMF,6/16/2015 17:40,0.186,0.179,6/22/2015 16:12,0.168,0.155,Diverted more flow to fish passage 6/22.
HF002,6,GSWSMF,6/22/2015 16:12,0.176,0.172,7/6/2015 12:33,0.167,0.166,
HF002,6,GSWSMF,7/6/2015 12:33,0.167,0.166,7/14/2015 9:42,0.157,0.15,Diverted more flow to fish passage 7/14.
HF002,6,GSWSMF,7/14/2015 9:42,0.229,0.235,7/21/2015 7:33,0.222,0.22,
HF002,6,GSWSMF,7/21/2015 7:33,0.222,0.22,7/28/2015 8:43,0.217,0.21,
HF002,6,GSWSMF,7/28/2015 8:43,0.217,0.21,8/4/2015 19:32,0.209,0.201,
HF002,6,GSWSMF,8/4/2015 19:32,0.209,0.201,8/11/2015 7:23,0.197,0.192,
HF002,6,GSWSMF,8/11/2015 7:23,0.197,0.192,8/18/2015 8:27,0.185,0.184,
HF002,6,GSWSMF,8/18/2015 8:27,0.185,0.184,8/25/2015 8:35,0.177,0.173,
HF002,6,GSWSMF,8/25/2015 8:35,0.177,0.173,9/1/2015 9:26,0.203,0.191,
HF002,6,GSWSMF,9/1/2015 9:26,0.203,0.191,9/8/2015 9:52,0.203,0.191,
HF002,6,GSWSMF,9/8/2015 9:52,0.203,0.191,9/15/2015 9:42,0.187,0.184,
HF002,6,GSWSMF,9/15/2015 9:42,0.187,0.184,9/22/2015 11:16,0.196,0.186,
HF002,6,GSWSMF,9/22/2015 11:16,0.196,0.186,9/27/2015 11:12,0.183,0.177,
HF002,6,GSWSMF,9/27/2015 11:12,0.183,0.177,10/6/2015 12:22,0.163,0.152,
